Month,Sector,Apprehensions
1,Big Bend,433
1,Del Rio,1234
1,El Centro,2688
1,El Paso,1124
1,Laredo,2526
1,Rio Grande Valley,3658
1,San Diego,6413
1,Tucson,16122
1,Yuma,586
2,Big Bend,484
2,Del Rio,1245
2,El Centro,2836
2,El Paso,1140
2,Laredo,3173
2,Rio Grande Valley,4845
2,San Diego,6982
2,Tucson,21266
2,Yuma,819
3,Big Bend,660
3,Del Rio,1874
3,El Centro,4408
3,El Paso,1528
3,Laredo,4433
3,Rio Grande Valley,7141
3,San Diego,9061
3,Tucson,31197
3,Yuma,1059
4,Big Bend,575
4,Del Rio,1791
4,El Centro,3419
4,El Paso,1359
4,Laredo,4528
4,Rio Grande Valley,7139
4,San Diego,7115
4,Tucson,28579
4,Yuma,732
5,Big Bend,493
5,Del Rio,1718
5,El Centro,3126
5,El Paso,1380
5,Laredo,3813
5,Rio Grande Valley,7477
5,San Diego,5858
5,Tucson,22572
5,Yuma,608
6,Big Bend,415
6,Del Rio,1326
6,El Centro,2440
6,El Paso,1005
6,Laredo,3475
6,Rio Grande Valley,5595
6,San Diego,5092
6,Tucson,13160
6,Yuma,447
7,Big Bend,415
7,Del Rio,1326
7,El Centro,2440
7,El Paso,1005
7,Laredo,3475
7,Rio Grande Valley,5595
7,San Diego,5092
7,Tucson,13160
7,Yuma,447
8,Big Bend,295
8,Del Rio,1095
8,El Centro,2075
8,El Paso,732
8,Laredo,2819
8,Rio Grande Valley,5329
8,San Diego,4528
8,Tucson,9280
8,Yuma,262
9,Big Bend,329
9,Del Rio,931
9,El Centro,2042
9,El Paso,632
9,Laredo,2118
9,Rio Grande Valley,3839
9,San Diego,4012
9,Tucson,8633
9,Yuma,260
10,Big Bend,530
10,Del Rio,1119
10,El Centro,2589
10,El Paso,1007
10,Laredo,2613
10,Rio Grande Valley,4236
10,San Diego,5017
10,Tucson,23197
10,Yuma,582
11,Big Bend,421
11,Del Rio,897
11,El Centro,2412
11,El Paso,894
11,Laredo,2130
11,Rio Grande Valley,3688
11,San Diego,4738
11,Tucson,16986
11,Yuma,649
12,Big Bend,373
12,Del Rio,697
12,El Centro,2196
12,El Paso,725
12,Laredo,1802
12,Rio Grande Valley,2987
12,San Diego,4636
12,Tucson,10907
12,Yuma,711
